"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 19, Seattle, Washington",19-CA-241411,"CP Anchorage Hotel 2, LLC d/b/a  Hilton Anchorage",Open,04/06/2020,,,Anchorage,AK,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Carapella Emily, Littler Mendelson, PC, 815 Connecticut Ave, NW, Suite 400, Washington, DC, 20006, (202)772-2501
Charging Party, Legal Representative, Myers Eric, McCracken Stemerman & Holsberry  LLP, 595 Market St Ste 800, San Francisco, CA, 94105-2813, (415)597-7200
Charged Party / Respondent, Legal Representative, Baskin Maurice, Littler Mendelson, P.C., 815 Connecticut Avenue,  N.W., Washington, DC, 20006, (202)772-2526
Charged Party / Respondent, Legal Representative, Saade Renea, Littler Mendelson, P.C., 500 L St., Ste. 201, Anchorage, AK, 99501-5909, (907)561-1249
Charged Party / Respondent, Employer, CP Anchorage Hotel 2, LLC d/b/a Hilton Anchorage, 500 W 3rd Avenue, Anchorage, AK, 99501-2210, (907)272-7411
Charging Party, Union, Unite Here! Local 878, 530 E 4th Ave, Anchorage, AK, 99501-2624
",,,
C,"Region 13, Chicago, Illinois",13-CA-258805,"Chicago Youth Hostel/Hosteling International USA d/b/a HI Chicago, The J. Ira and Nicki Harris Family Hostel",Closed,04/06/2020,05/08/2020,"Withdrawal Non-adjusted",Chicago,IL,50,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Legal Representative, Pacheco Thalia, The Fish Law Firm, P.C., 200 E 5th Ave  Ste 123, Naperville, IL, 60563-3173, (630)355-7590
Charging Party, Individual
Charged Party / Respondent, Employer, Chicago Youth Hostel/Hosteling International USA d/b/a HI Chicago, The J. Ira and Nicki Harris Family Hostel, Chicago, IL, 60605
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-258903,"Heritage Christian School",Closed,04/06/2020,06/18/2020,"Dismissal Non-adjusted",Indianapolis,IN,200,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Pettygrove Joseph, Kroger, Gardis & Regas, LLP, 111 Monument Circle, Suite 900, Indianapolis, IN, 46204, (317)692-9000
Charged Party / Respondent, Employer, Heritage Christian School, Indianapolis, IN, 46250-____
Charging Party, Individual
",,,
C,"Region 31, Los Angeles, California",31-CA-258816,"Meruelo Group - KLOS-FM",Closed,04/06/2020,06/09/2020,"Withdrawal Adjusted","Los Angeles",CA,16,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Hilden Susan, Meruelo Group, LLC, 2500 East Second Street, Reno, NV, 89595, (775)789-5362
Charged Party / Respondent, Additional Service, Meruelo Group - KLOS FM, Downey, CA, 90241
Charging Party, Additional Service, SAG-AFTRA, New York, NY, 10023
Charged Party / Respondent, Employer, Meruelo Group - KLOS FM, Burbank, CA, 91505
Charging Party, Union, SAG-AFTRA, Los Angeles, CA, 90036
",,,
C,"Region 22, Newark, New Jersey",22-CB-259089,"Newspaper and Mail Deliverers' Union (Hudson News Distributors, LLC)",Closed,04/06/2020,07/02/2021,"Withdrawal Adjusted",Parsippany,NJ,45,"8(b)(3) Refusal to Furnish Information
","Charging Party, Legal Representative, Stanevich Jason, Littler Mendelson, P.C., One Century Tower, 265 Church St Ste 300, New Haven, CT, 06510, (203)974-8716
Charged Party / Respondent, Legal Representative, Kane Walter, Cary Kane LLP, 350 Broadway,, Suite 1400, New York, NY, 10018, (212)868-6300
Charged Party / Respondent, Union, Newspaper & Mail Deliverers' Union of New York, 1501 Broadway, Suite 1728, New York, NY, 10036, (646)380-8521
Charging Party, Employer, Hudson News Distributors, LLC, 701 Jefferson Road, Parsippany, NJ, 07054, (201)867-3600
",,,
R,"Region 25, Indianapolis, Indiana",25-RD-258769,"Keen Transport, Inc.",Closed,04/06/2020,06/10/2020,"Certification of Results",Decatur,IL,10,,"Involved Party, Legal Representative, Fyans J.P, (217)522-7932
Employer, Legal Representative, Suflas Steven, Ballard Spahr, LLP, 1225 17th Street, Denver, CO, 80202, (303)299-7326
Petitioner, Individual
Employer, Employer, Keen Transport, Inc., Decatur, IL, 62526, (217)422-8252
Involved Party, Union, Teamsters, Chauffeurs, Warehousemen & Helpers Union, Local No. 916 a/w the International Brotherhood of Teamsters, Springfield, IL, 62707-3562, (217)522-7932
",,"Included:  Truck Drivers, Crane Operators, Loading Crew Workers, and Processors.
Excluded:
",14
C,"Region 21, Los Angeles, California",21-CA-258838,"Adventures In Montessori",Closed,04/06/2020,04/22/2020,"Dismissal Non-adjusted","San Diego",CA,5,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Kiyma Jeff, 2732 Island Ave., Unit B, San Diego, CA, 92102
Charging Party, Individual
Charged Party / Respondent, Employer, Adventures In Montessori, San Diego, CA, 92104
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-258801,"Carroll-White REMC",Open,04/06/2020,,,Monticello,IN,20,"8(a)(5) Refusal to Recognize
","Charged Party / Respondent, Legal Representative, Garrison Brian, Faegre Drinker Biddle & Reath LLP, 300 N. Meridian Street, Suite 2500, Indianapolis, IN, 46204-1750, (317)237-8239
Charging Party, Legal Representative, Vlink David, Macey Swanson LLP, 445 n. pennsylvania st., ste. 401, indianapolis, IN, 46204-____, (317)637-2345
Charged Party / Respondent, Employer, Carroll-White REMC, Monticello, IN, 47960-____
Charging Party, Union, International Brotherhood of Electrical Workers, Local 1393, Indianapolis, IN, 46227-____
",,,
C,"Region 28, Phoenix, Arizona",28-CB-258818,"Communications Workers of America, Local 7019 (Piedmont Airlines)",Closed,04/06/2020,04/14/2020,"Withdrawal Non-adjusted",Phoenix,AZ,300,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Notification, Rosenfeld David, Weinberg, Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Charged Party / Respondent, Notification, Thomas Domonique, Communication Workers of America, District 9, 12215 Telegraph Road, Suite 210, Santa Fe Springs, CA, 90670, (562)944-1300
Charged Party / Respondent, Notification, Arce Frank, Communications Workers of America, District 9, AFL-CIO, 2804 Gateway Oaks Dr Ste 150, Sacramento, CA, 95833-4349, (916)921-4500
Charging Party, Individual
Involved Party, Employer, Piedmont Airlines, Salisbury, MD, 21804-1545
Charged Party / Respondent, Union, Communications Workers of America, Local 7019, Phoenix, AZ, 85008
",,,
C,"Region 19, Seattle, Washington",19-CA-258852,"Aegion Energy Services (Brinderson)",Closed,04/06/2020,05/04/2020,"Withdrawal Non-adjusted",Anacortes,WA,60,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, O'Connor Bryan, Jackson Lewis P.C., 520 Pike St Ste 2300, Seattle, WA, 98101-4099, (206)626-6423
Charging Party, Notification, Jury David, USW AFL-CIO/CLC, 60 Blvd. of the Allies, Five Gateway Center  Rm. 807, Pittsburgh, PA, 15222-1214, (412)562-2545
Charged Party / Respondent, Employer, Aegion Energy Services (Brinderson), Irvine, CA, 92612-1438
Charging Party, Union, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, Kent, WA, 98032-1787
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258809,"Wayne Farms",Closed,04/06/2020,06/10/2020,"Dismissal Non-adjusted",Danville,AR,200,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Discharge of supervisor (Parker-Robb Chevrolet)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discipline
","Charged Party / Respondent, Employer, Wayne Farms, Danville, AR, 72833
Charging Party, Individual
",,,
C,"Region 31, Los Angeles, California",31-CA-258850,"AirGas USA, LLC",Closed,04/06/2020,10/14/2021,"Informal Settlement",Ventura,CA,18,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(5) Refusal to Recognize
","Charging Party, Legal Representative, De Haro Hector, Bush Gottlieb, A Law Corporation, 801 N. Brand Blvd., Suite 850, Glendale, CA, 91203, (818)973-3260
Charging Party, Legal Representative, Dickinson Julie, Bush Gottlieb, A Law Corporation, 801 North Brand Blvd., Suite 950, Glendale, CA, 91203, (818)973-3228
Charged Party / Respondent, Legal Representative, Murphy Michael, Airgas USA, LLC, 3223 N. Elston Avenue, Chicago, IL, 60618, (610)230-0668
Charged Party / Respondent, Employer, AirGas USA, LLC, Ventura, CA, 93003
Charging Party, Union, International Brotherhood of Teamsters, Local 848, Long Beach, CA, 90807
",,,
C,"Region 13, Chicago, Illinois",13-CA-258842,"Estates of  Hyde Park",Closed,04/06/2020,06/10/2021,"Dismissal Non-adjusted","Chicago Heights",IL,175,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Raval Jyoti, 2201 Main Street, Evanston, IL, 60202, (847)905-3000
Charging Party, Individual
Charged Party / Respondent, Employer, Estates of  Hyde Park, Chicago, IL, 60653-____
Charged Party / Respondent, Legal Representative
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258781,"United States Postal Service, Memphis NDC",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, National Postal Mail Handlers Union Local 329, Memphis, TN, 38136-9998
Charged Party / Respondent, Employer, United States Postal Service Memphis NDC, Memphis, TN, 38136-9998
",,,
C,"Region 27, Denver, Colorado",27-CA-258815,"Arrow Electronics",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Englewood,CO,1000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Schudroff Daniel, Jackson Lewis P.C., Jackson Lewis, P.C., 666 Third Ave, New York, NY, 10017, (212)545-4015
Charged Party / Respondent, Legal Representative, McManus Megann, Jackson Lewis, P.C., 666 Third Avenue, 29th Floor, New York, NY, 10017, (212)545-4060
Charged Party / Respondent, Employer, Arrow Electronics, Englewood, CO, 80112-____
Charging Party, Individual
",,,
C,"Region 13, Chicago, Illinois",13-CA-258788,"Reef/Imperial Parking",Closed,04/06/2020,07/29/2021,"Dismissal Non-adjusted",Chicago,IL,33,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Islinger David, Jackson Lewis, P.C., 200 Connell Drive, Suite 2000, Berkeley Heights, NJ, 07922, (908)795-5203
Charging Party, 
Charged Party / Respondent, Employer, Reef/Imperial Parking, Chicago, IL, 60607-____
Charging Party, Union, Teamsters Union Local 727, Park Ridge, IL, 60068-____
",,,
C,"Region 13, Chicago, Illinois",13-CA-258834,"SP Plus Corporation",Closed,04/06/2020,11/16/2022,"Informal Settlement",Chicago,IL,1074,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Employer, SP Plus Corporation, Chicago, IL, 60666-____
Charging Party, Union, Teamsters Union Local 727, Park Ridge, IL, 60068-____
",,,
C,"Region 06, Pittsburgh, Pennsylvania",06-CB-258827,"National Rural Letter Carriers Association (United States Postal Service)",Closed,04/06/2020,05/22/2020,"Dismissal Non-adjusted",Darlington,PA,8,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Notification, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Favreau Jean-Marc, Peer Gan & Gisler LLP, 1730 RHODE ISLAND AVE, NW, STE 715, WASHINGTON, DC, 20036-3115, (202)223-1900
Charging Party, Individual
Charged Party / Respondent, Union, National Rural Letter Carriers Association, Clearfield, PA, 16830
Involved Party, Employer, United States Postal Service, Darlington, PA, 16115
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258808,"United States Postal ServiceMemphis NDC, Memphis TN 38136-9998",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, United States Postal Service, Memphis NDC, Memphis, TN, 38136-9998
Charging Party, Union, National Postal Mail Handlers Union, Local 329, Memphis NDC, Memphis, TN, 38136-9998
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-258839,"Community Howard Regional Health",Closed,04/06/2020,05/15/2020,"Dismissal Non-adjusted",Kokomo,IN,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Bush Charles, Ice Miller LLP, One American Square, Suite 2900, Indianapolis, IN, 46282-0200, (317)236-5814
Charged Party / Respondent, Legal Representative, Earnhart Tami, ICE MILLER LLP, (317)236-2235
Charged Party / Respondent, Employer, Community Howard Regional Health, Kokomo, IN, 46902
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-258791,"Raddatz Law Firm, PLLC",Closed,04/06/2020,05/21/2021,"Dismissal Non-adjusted",McLean,VA,4,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Raddatz Mark, Raddatz Law Firm, PLLC, 7921 Jones Branch Drive, Suite 200, McLean, VA, 22102, (202)466-8001
Charged Party / Respondent, Employer, Raddatz Law Firm, PLLC, 7921 Jones Branch Drive, Suite 200, McLean, VA, 22102, (202)466-8001
Charging Party, Individual
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258821,"United States Postal Service Memphis NDC",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, National Postal Mail Handlers Union, Local 329, Memphis NDC, Memphis, TN, 38136-9998
Charged Party / Respondent, Employer, United States Postal Service Memphis NDC, Memphis, TN, 38136-9998
",,,
C,"Region 22, Newark, New Jersey",22-CA-258765,"Waste Management of New Jersey, Inc.",Closed,04/06/2020,04/23/2020,"Withdrawal Adjusted",Fairview,NJ,341,"8(a)(5) Refusal to Furnish Information
","Charging Party, Legal Representative, Connaughton Matthew, Cohen, Leder, Montalbano & Connaughton LLC, 669 River Drive, Suite 125, Elmwood Park, NJ, 07407-1361, (908)298-8800
Charged Party / Respondent, Employer, Waste Management of New Jersey, Inc., Fairview, NJ, 07022
Charging Party, Union, LOCAL 125, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, Wayne, NJ, 07470-2024
",,,
C,"Region 16, Fort Worth, Texas",16-CA-258803,"United States Postal Service",Closed,04/06/2020,08/17/2020,"Dismissal Non-adjusted","San Antonio",TX,40,"8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Thompson Joy, United States Postal Service, Law Department - NLRB Unit,, 475 L'Enfant Plaza SW, Washington, DC, 20260, (202)268-2390
Charging Party, Individual
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, SAN ANTONIO, TX, 78238
",,,
R,"Region 04, Philadelphia, Pennsylvania",04-RD-258773,"Quad/Graphics Marketing, LLC",Closed,04/06/2020,06/30/2020,"Certific. of Representative",Chalfont,PA,303,,"Involved Party, Legal Representative, Edelman Aaron, Mooney, Green, Saindon, Murphy & Welch, 1920 L Street N.W., Suite 400, Washington, DC, 20036-5041, (202)783-0010
Involved Party, Legal Representative, Leff Peter, Mooney, Green, Saindon, Murphy & Welch,  P.C., 1920 L Street NW, Suite, 400, Washington, DC, 20036, (202)783-0010
Employer, Legal Representative, Kamin Timothy, Ogletree Deakins, 1243 North 10th Street, Suite 200, Milwaukee, WI, 53205, (414)239-6403
Employer, Employer, Quad/Graphics Marketing, LLC, Chalfont, PA, 18914, (215)997-5380
Petitioner, Individual
Involved Party, Union, Graphic Communications Conference, International Brotherhood of Teamsters, Local 16-N, Atlanta, GA, 30341, (215)739-1704
","Graphic Communications Conference, International Brotherhood of Teamsters, Local 16-N","Involved: Imaging, Converting, Mailing, Mailing Admin, Production Support, Materials, Roll-Roll, Material Admin.
Excluded: NA",310
C,"Region 07, Detroit, Michigan",07-CA-258832,"Pingree MFG LC3",Closed,04/06/2020,05/29/2020,"Withdrawal Non-adjusted",Detroit,MI,7,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Harvey Barbara, 8900 East Jefferson Avenue, Suite 510, Detroit, MI, 48214, (313)567-4228
Charging Party, Individual
Charged Party / Respondent, Employer, Pingree MFG LC3, Detroit, MI, 48202
",,,
C,"Region 01, Boston, Massachusetts",01-CA-258793,"JDD INC.",Closed,04/06/2020,05/20/2020,"Withdrawal Adjusted","Lisbon Falls",ME,26,"8(a)(5) Refusal to Furnish Information
","Charging Party, Additional Service, International Association of Machinists and Aerospace Workers, District Lodge 1, AFL-CIO, Brooklyn, NY, 11242
Charged Party / Respondent, Additional Service, JDD, Inc., Cleveland, OH, 44114-4131
Charging Party, Union, INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DISTRICT LODGE 4, Lisbon Falls, ME, 04252-1812
Charged Party / Respondent, Employer, JDD, INC., ELIOT, ME, 03903
",,,
C,"Region 05, Baltimore, Maryland",05-CA-258876,"Commonwealth EMS",Closed,04/06/2020,04/30/2020,"Dismissal Non-adjusted",Fredericksburg,VA,45,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Individual
Charged Party / Respondent, Employer, Commonwealth EMS, Fredericksburg, VA, 22406
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-259014,"United States Postal Service",Open,04/06/2020,,,Memphis,TN,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, United States Postal Service, Memphis, TN, 38136-6947
Charging Party, Union, National Postal Mail Handlers Union Local 329, Memphis, TN, 38136-9998
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258825,"United States Postal Service Memphis NDC",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, National Postal Mail Handlers Union, Local 329, Memphis NDC, Memphis, TN, 38136-9998
Charged Party / Respondent, Employer, United States Postal Service Memphis NDC, Memphis, TN, 38136-9998
",,,
R,"Region 12, Tampa, Florida",12-RC-258906,"The Bradenton Herald, Inc.",Closed,04/06/2020,06/17/2020,"Certific. of Representative",Bradenton,FL,7,,"Employer, Legal Representative, Agenbroad Aaron, Jones Day, 555 California St, 26th Flr, San Francisco, CA, 94104-1503, (415)875-5808
Petitioner, Legal Representative, Melick Michael, Barr Camens, 1025 Connecticut Ave NW, Suite 1000, Washington, DC, 20036, (202)293-9222
Employer, Legal Representative, Manriquez Miguel, Jones Day, 555 California Street, 26th Floor, San Francisco, CA, 94104-1503, (415)875-5711
Petitioner, Union, The NewsGuild-CWA, Washington, DC, 20001-2797
Employer, Employer, Bradenton Herald, Bradenton, FL, 34205, (941)745-7050
","The NewsGuild-CWA","Included:  All full-time and regular part-time newsroom employees employed by the Employer.  Excluded:  All other employees, including all managers, guards, and supervisors as defined by the Act.",8
