Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
Citizens Against Domestic & Sexual Abuse (CADA),19-RC-315590,Oak Harbor,WA,4/5/23,"Region 19, Seattle, Washington",Open,,,,3,,"Included: Advocate, Prevention/Community Educator, Shelter Manager, Receptionist/Data Entry. Excluded: Executive Director, Board of Directors."
Starbucks Corporation,01-RC-315488,Rochester,NH,4/5/23,"Region 01, Boston, Massachusetts",Open,,,,17,,Included:  All full-time and regular part-time baristas and shift managers.  Excluded:  Store managers
Southern Glazers Wine & Spirits of New York,29-UC-315479,Brooklyn,NY,4/5/23,"Region 29, Brooklyn, New York",Open,,,,32,,"Included: All Merchandisers, Retail Execution Specialist and Warehouse employees covered under the 2020-2023 CBA between the Parties. Including Approximately 32 individuals employed at the Company's Syracuse N.Y. facility holding employment in the titles of Merchandiser and RES.

Excluded: All other Employees.

"
ShangriLa Dispensary South,14-RC-315558,Columbia,MO,4/5/23,"Region 14, Saint Louis, Missouri",Open,,,,21,,"Included: PatientConsultant,PatientConsultantSupervisor,InventorySpeacialist;
Excluded: General Manager, Assistant General Manager, Inventory Supervisor
"
Burrtec Kern LLC,31-RD-315392,Bakersfield,CA,4/4/23,"Region 31, Los Angeles, California",Open,,,,19,,"Included: Drivers and helpers employed by the Employer at 9930 Brimhall Road, Bakersfield, CA 93312.

Excluded: Office clerical, professional, guards and supervisors as defined in the Act, & all other employees."
"Mass General Brigham, Inc.",01-RC-315391,Boston,MA,4/4/23,"Region 01, Boston, Massachusetts",Open,,,,2489,,"Included: All interns, residents, chief residents, and fellows employed by Mass General Brigham Excluded: All other employees, directors, managers, and supervisors as defined in the Act."
Smart & Final Logistics LLC,21-RC-315503,Riverside,CA,4/4/23,"Region 21, Los Angeles, California",Open,,,,250,,"Included:  All Full time and Part time Warehouse Associates-foremans, fork lift, let downs, loaders, receivers, put away, Order selectors, pallets, quality control, inventory control, Shorts clerk, Receiving window, whse maintenance-battery person

Excluded:  All other employees, Full time and part time Drivers, professional employees, customer Service and payroll clerk, Supervisors, Guards and agency workers as defined by the Act."
St. Joseph's Medical Center,29-RC-315422,Staten Island,NY,4/4/23,"Region 29, Brooklyn, New York",Open,,,,10,,"Included: All full time and regular part time, including per diem, professional employees
employed by the Employer at the Staten Island and Brooklyn locations, as residual to the
existing collective bargaining unit of professional employees.
Excluded: All other employees, guards, and supervisors as defined in the Act."
Starbucks Corporation,25-RC-315461,Urbana,IL,4/4/23,"Region 25, Indianapolis, Indiana",Open,,,,34,,"Included: All full-time and regular part-time Baristas and Shift Supervisors

Excluded: Store managers, Office Clericals, Guards, Professional Employees, and Supervisors"
"Keck Medicine of USC, Neurology (Neuroscience, Neurosurgery, Pain Management)",21-RC-315413,Los Angeles,CA,4/4/23,"Region 21, Los Angeles, California",Open,,,,36,,"Included: All time, regular part time and per diem service and technical employees: including Authorization Coordinators, Clinic Coordinators , Administrative Service Coordinators, Health Information Clerks, Licensed Vocational Nurse, Medical
A ssistants , Lead Medical A ssistants , Patient Access Representatives , Schedulers,
Lead Schedulers, Scheduling Coordinators , and Support Coordinators employed by
the employer at the Neurology Clinic (Neuroscience, Neurosurgery, Pain
Management) at 1520 San Pablo St, Los Angeles, CA, 90033
(Armour Globe into
the USC Care Ambulatory Operations Contract).

Excluded: All other employees, other represented employees, managerial employees,
confidential employees, physicians, skilled maintenance, Registered Nurses, guards, and supervisors a s defined by the National Labor Relations Act."
Marine Spill Response Corp.,21-RD-315530,San Pedro,CA,4/4/23,"Region 21, Los Angeles, California",Open,,,,12,,"Included: All full time Responders

Excluded: All other employees, office clerical employees, confidential employees, professional employees, managerial employees, and supervisors defined in the Act."
"Mosaic Core Nutrition, LLC",25-RD-315458,Pekin,IL,4/4/23,"Region 25, Indianapolis, Indiana",Open,,,,7,,"Involved: 
Utility, Maintenance, Operator

Excluded: 
None"
Claxton Hepburn Medical Center,03-RC-315410,Ogdensburg,NY,4/4/23,"Region 03, Buffalo, New York",Open,,,,55,,"Included:  All Full-Time, Part Time and Per Diem Technical Employees.

Excluded:  All other titles."
