Name,"Case Number",City,"States & Territories","Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"Moxy Downtown Los Angeles",21-RC-339294,"Los Angeles",CA,04/03/2024,"Region 21, Los Angeles, California",Open,,,,13,,"Included: Employees Included all full time, regular time, part time and peridium Building engineers 1,2 & 3 and any other maintenance worker employed at the Moxy Downtown Los Angeles. 

Excluded: All other employees, professional employees, managerial employees, security guards and supervisors as defined in the Act, as amended"
"Portland General Electric",19-RC-339256,Tualatin,OR,04/03/2024,"Region 19, Seattle, Washington",Open,,,,31,,"Included: All full-time and part-time distribution system operators, transmission system operators, and balancing authority operators employed by the Employer. Excluded: All managers, confidential employees, and guards and supervisors as defined by the Act. 
This petition seeks to add distribution system operators, transmission system operators, and balancing authority operators to the BU-1 bargaining unit."
"C & W Facility Services INC",19-RC-339218,Seattle,WA,04/03/2024,"Region 19, Seattle, Washington",Open,,,,4,,"Included: All Full Time and Regular Part Time Assistant Chief Engineers, Lead Building Engineers, Building Engineers, Maintenance Technicians, and all other skilled maintenance employees.

Excluded: All Security, Office Clericals, and Supervisors as defined by the Act."
"Miami City Ballet",12-RC-339307,"Miami Beach",FL,04/03/2024,"Region 12, Tampa, Florida",Open,,,,53,,"INCLUDED:  All dancers employed by employer.

EXCLUDED:"
"Kerberos International",05-RC-339277,Arlington,VA,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,3,,"Included:
All employees performing Guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Kerberos International @ 2451 Crystal Drive, Arlington, VA 22203

Excluded:
All office clerical employees, professional employees and supervisors as defined by the act."
"Innovation Mechanical, Inc.",05-RC-339215,"College Park",MD,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,9,,"Included: All full-time and regular part-time HVAC Mechanics and HVAC Apprentices, Pipefitter Mechanics and Pipefitter Apprentices, Plumber Mechanics and Plumber Apprentices, and Foremen/Lead Technicians employed by Innovation Mechanical, Inc. out of its College Park, Maryland office.

Excluded: All other employees, managers, office clericals, professionals, guards, and supervisors as defined in the Act."
"Kerberos International",05-RC-339296,Arlington,VA,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,5,,"Included: ALL EMPLOYEES PERFORMING GUARD DUTIES AS DEFINED IN SECTION 9(b)(3) OF THE NATIONAL LABOR RELATIONS ACT, EMPLOYED BY KERBEROS INTERNATIONAL@ 4200 WILSON BLVD., ARLINGTON, VA 22203

Excluded: ALL OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES AND SUPERVISORS AS DEFINED BY THE ACT."
"Sertoma Star Services",13-RC-339194,Alsip,IL,04/03/2024,"Region 13, Chicago, Illinois",Open,,,,19,,"Included: Community Day Services Direct Support Professionals

Excluded: All Other Employees"
Maxsent,05-RC-339272,Arlington,VA,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,3,,"Included: All employees performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Maxsent @ 1525 Wilson Blvd., Arlington, VA 22209.

Excluded: All office Clerical employees, Professional employees and Supervisors as defined by the Act."
"Frontier Senior Living d/a/b Livingston Place at Southern Avenue",05-RC-339190,Washington,DC,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,59,,"Employees Included 
All full time, regular, part-time, and per diem CNA's, LPN's, Caregivers, Housekeepers, Cooks, Dietary aides, Dietary Assistants, Dishwashers, Concierges, Maintenance, and Environmental Specialists employed by Livingston Place at Southern Avenue in its location in Washington DC. 

Excluded:  All other employees, guards, and supervisors as defined by the act"
"Oak Grove Technologies, LLC",28-RC-339239,Artesia,NM,04/03/2024,"Region 28, Phoenix, Arizona",Open,,,,63,,"UNIT: Petitioner seeks to add, through a Globe-Armour self-determination election the following positions:
Dispatchers, Issue Clerks, Maintenace Trades Helper, Range Masters, Supply Tech, Leads, Recreation Specialist, Stock Clerks to the already-certified unit from Case 28-RC-323974, dated October 5, 2023, specifically:

All full-time and regular part-time Armoury, Clerk III, Leads, Bus/Shuttle Drivers, Auto Shop, and Audio-Visual employees employed by the Employer at the Federal Law Enforcement Training Center in Artesia, NM; excluding all other employees, Quility Control employees, managerial employees, guards, and supervisors as defined in the Act."
"TerrAscend USA Services LLC",07-RM-339169,Buchanan,MI,04/03/2024,"Region 07, Detroit, Michigan",Open,,,,18,,"Included: 18 Excluded: 0"
"Facility Service Management Inc.",14-RC-339226,"Fort Riley",KS,04/03/2024,"Region 14, Saint Louis, Missouri",Open,,,,22,,"Included: All full-time and regular part-time Clerks/Planners/Schedulers, Supply Technicians, Electricians, HVAC Mechanics, Plumbers, General Maintenance Workers, Stationary Engineers, Locksmiths, Engineering Technicians IV, Painters/Maintenace, Carpenters/Maintenace, and Leads.. Excluded: All managers, guards, and supervisors as defined by the Act."
Maxsent,05-RC-339325,Baltimore,MD,04/03/2024,"Region 05, Baltimore, Maryland",Open,,,,60,,"Included: ALL EMPLOYEES PERFORMING GUARD DUTIES AS DEFINED IN SECTION 9{b)(3) OF THE NATIONAL LABOR RELATIONS ACT, EMPLOYED BY MAXSENT@6100 WABASH AVE., BALTIMORE, MD 21215 

Excluded: ALL OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES AND SUPERVISORS AS DEFINED BY THE ACT."
"Yankee Gas DBA Eversource",01-RC-339087,Waterbury,CT,04/02/2024,"Region 01, Boston, Massachusetts",Open,,,,4,,"Included: All full-time and regular part-time Instrumentation Test Specialists Excluded: all guards, professional employees and supervisors as defined in the Act."
"Trustees of Princeton University d/b/a Princeton University",22-RC-339137,Princeton,NJ,04/02/2024,"Region 22, Newark, New Jersey",Open,,,,1000,,"INCLUDED:  All postdoctoral researchers who provide services to Princeton University, including Postdoctoral Research Associates, Postdoctoral Research Fellows, Associate Research Scholars, Associate Research Physicists, Senior Research Assistants, and Postgraduate Research Associates.

EXCLUDED:  N/A"
"Advocates for Family Peace",18-RD-339192,"Grand Rapids",MN,04/02/2024,"Region 18, Minneapolis, Minnesota",Open,,,,6,,"Included:  Full time, part time, and temporary hourly employees.

Excluded:  All supervisors, salaried staff, and stipend staff."
"Liberty Communications of Puerto Rico",12-RC-339191,"San Juan",PR,04/02/2024,"Region 12, Tampa, Florida",Open,,,,25,,"5(b), Description of Unit:
Included: All Business Customer Service Leads, Business Customer Service Representatives,
Business Retention Representatives, and Business Technical Support Representatives. 

Excluded: All other employees, and all Supervisors, Managers, Guards, Confidential Employees and others excluded by the Act.
"
"Walgreen Co.",21-RM-339189,"Long Beach",CA,04/02/2024,"Region 21, Los Angeles, California","Open - Blocked",,,,24,,"Included: All full-time and regular part-time hourly employees in the pharmacy department and all full-time and regular part time hourly front store employees, including Shift Leads, CSA employees, and inventory specialists.

Excluded: Store managers, assistant store managers, pharmacists, and guards and supervisors as defined in the Act."
"ADUSA Transportation, LLC.",01-RM-339183,"South Portland",ME,04/02/2024,"Region 01, Boston, Massachusetts",Open,,,,25,,"Included:
All full-time and regular part-time, drivers employed by the Employer at its 54 Hemco Rd.,
South Portland, ME and 1245 U.S. Route 202, Winthrop, ME facilities.
Excluded:
All dispatchers, office staff and managerial employees, and guards, professional employees and
supervisors as defined in the Act.
"
"MultiCare Valley Hospital",19-RD-339147,"Spokane Valley",WA,04/02/2024,"Region 19, Seattle, Washington",Open,,,,326,,"Included: All RNs.

Excluded:"
