month_filed,FALSE,TRUE
2021-08-01,3,NA
2021-09-01,2,NA
2021-11-01,4,NA
2021-12-01,5,NA
2022-01-01,34,NA
2022-02-01,66,NA
2022-03-01,71,NA
2022-04-01,65,NA
2022-05-01,46,NA
2022-06-01,29,NA
2022-07-01,14,NA
2022-08-01,8,NA
2022-09-01,12,NA
2022-10-01,12,NA
2022-11-01,14,NA
2022-12-01,11,NA
2023-01-01,7,NA
2023-02-01,13,NA
2023-03-01,16,NA
2023-04-01,14,NA
2023-05-01,22,NA
2023-06-01,21,NA
2023-07-01,14,NA
2023-08-01,12,NA
2023-09-01,4,NA
2023-10-01,18,NA
2023-11-01,24,NA
2023-12-01,21,NA
2024-01-01,20,NA
2024-02-01,32,2
2024-03-01,NA,31
2024-04-01,NA,9
